"entity_id","domain","state","friendly_name","device_class","unit_of_measurement"
"conversation.home_assistant","conversation","2026-02-16T01:39:52.430368+00:00","Home Assistant","",""
"event.backup_automatic_backup","event","2026-02-17T09:56:58.598+00:00","Backup Automatic backup","",""
"sensor.backup_backup_manager_state","sensor","idle","Backup Backup Manager state","enum",""
"sensor.backup_next_scheduled_automatic_backup","sensor","2026-02-18T09:51:55+00:00","Backup Next scheduled automatic backup","timestamp",""
"sensor.backup_last_successful_automatic_backup","sensor","2026-02-17T09:56:58+00:00","Backup Last successful automatic backup","timestamp",""
"sensor.backup_last_attempted_automatic_backup","sensor","2026-02-17T09:56:11+00:00","Backup Last attempted automatic backup","timestamp",""
"camera.wyze_cam","camera","idle","Wyze Cam","",""
"camera.pan_cam","camera","idle","Pan Cam","",""
"camera.redbase","camera","idle","Redbase","",""
"camera.loblolly","camera","idle","Loblolly","",""
"binary_sensor.remote_ui","binary_sensor","on","Remote UI","connectivity",""
"stt.home_assistant_cloud","stt","unknown","Home Assistant Cloud","",""
"tts.home_assistant_cloud","tts","2026-02-17T18:12:31.289808+00:00","Home Assistant Cloud","",""
"script.toggle_main_lights","script","off","Toggle All Main Lights","",""
"script.spotify_transfer_kitchen","script","off","Spotify to Kitchen Dot","",""
"script.spotify_transfer_family","script","off","Spotify to Family Dot","",""
"script.spotify_transfer_show8","script","off","Spotify to Show 8","",""
"script.spotify_transfer_greatroom","script","off","Spotify to Great Room","",""
"input_select.featured_camera","input_select","front_door","Featured Camera","",""
"input_boolean.hvac_auto_comfort","input_boolean","off","HVAC Auto Comfort","",""
"input_boolean.main_lights_master","input_boolean","off","Main Lights Master","",""
"input_boolean.hp_presence","input_boolean","off","HP Presence","",""
"input_boolean.media_photos_visible","input_boolean","on","Media Photos Visible","",""
"input_boolean.study_blinds_auto","input_boolean","on","Study Blinds Auto Schedule","",""
"zone.home","zone","4","Home","",""
"input_boolean.front_porch_virtual_toggle","input_boolean","on","Front porch virtual toggle","",""
"zone.loblolly","zone","0","Loblolly","",""
"zone.eagles_basketball_gym","zone","0","Basketball SC ","",""
"zone.fort_gordon","zone","0","Fort Gordon","",""
"zone.h","zone","4","Home","",""
"zone.loblolly_2","zone","0","Loblolly ","",""
"person.admin","person","Home","ADMIN","",""
"person.tuella_sowu","person","Home","Tuella","",""
"person.kitchen_tab","person","unknown","Kitchen Tab","",""
"person.paul","person","Home","Paul","",""
"person.mauriece","person","Home","Mauriece","",""
"sun.sun","sun","below_horizon","Sun","",""
"binary_sensor.sun_solar_rising","binary_sensor","on","Sun Solar rising","",""
"sensor.sun_next_dawn","sensor","2026-02-18T11:43:36+00:00","Sun Next dawn","timestamp",""
"sensor.sun_next_dusk","sensor","2026-02-18T23:41:32+00:00","Sun Next dusk","timestamp",""
"sensor.sun_next_midnight","sensor","2026-02-19T05:42:14+00:00","Sun Next midnight","timestamp",""
"sensor.sun_next_noon","sensor","2026-02-18T17:42:24+00:00","Sun Next noon","timestamp",""
"sensor.sun_next_rising","sensor","2026-02-18T12:09:19+00:00","Sun Next rising","timestamp",""
"sensor.sun_next_setting","sensor","2026-02-18T23:15:47+00:00","Sun Next setting","timestamp",""
"sensor.sun_solar_elevation","sensor","-51.33","Sun Solar elevation","","°"
"sensor.sun_solar_azimuth","sensor","64.04","Sun Solar azimuth","","°"
"sensor.average_home_temperature","sensor","75.6","Average Home Temperature","temperature","°F"
"sensor.kitchen_range_status","sensor","Off","Kitchen Range Status","",""
"sensor.kitchentab_browser_id","sensor","unavailable","Kitchentab Browser ID","",""
"sensor.kitchentab_browser_path","sensor","unavailable","Kitchentab Browser path","",""
"sensor.kitchentab_browser_visibility","sensor","unavailable","Kitchentab Browser visibility","",""
"sensor.kitchentab_browser_useragent","sensor","unavailable","Kitchentab Browser userAgent","",""
"sensor.kitchentab_browser_user","sensor","unavailable","Kitchentab Browser user","",""
"binary_sensor.kitchentab_browser_fullykiosk","binary_sensor","unavailable","Kitchentab Browser FullyKiosk","",""
"sensor.kitchentab_browser_width","sensor","unavailable","Kitchentab Browser width","","px"
"sensor.kitchentab_browser_height","sensor","unavailable","Kitchentab Browser height","","px"
"binary_sensor.kitchentab_browser_dark_mode","binary_sensor","unavailable","Kitchentab Browser dark mode","",""
"binary_sensor.kitchentab","binary_sensor","unavailable","Kitchentab","motion",""
"light.kitchentab_screen","light","unavailable","Kitchentab Screen","",""
"media_player.kitchentab","media_player","unavailable","Kitchentab","",""
"sensor.kitchentab_panel","sensor","unavailable","Kitchentab Panel","",""
"camera.kitchentab","camera","unavailable","Kitchentab","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_id","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser ID","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_path","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser path","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_visibility","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser visibility","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_useragent","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser userAgent","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_user","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser user","",""
"binary_sensor.browser_mod_f140f9b1_ffb74a1c_browser_fullykiosk","binary_sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser FullyKiosk","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_width","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser width","","px"
"sensor.browser_mod_f140f9b1_ffb74a1c_browser_height","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser height","","px"
"binary_sensor.browser_mod_f140f9b1_ffb74a1c_browser_dark_mode","binary_sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Browser dark mode","",""
"binary_sensor.pauls_samsung","binary_sensor","unavailable","Pauls samsung","motion",""
"light.browser_mod_f140f9b1_ffb74a1c_screen","light","unavailable","browser_mod_f140f9b1_ffb74a1c Screen","",""
"media_player.browser_mod_f140f9b1_ffb74a1c","media_player","unavailable","browser_mod_f140f9b1_ffb74a1c","",""
"sensor.browser_mod_f140f9b1_ffb74a1c_panel","sensor","unavailable","browser_mod_f140f9b1_ffb74a1c Panel","",""
"camera.10_0_0_60","camera","idle","front Porch ring mqtt","",""
"camera.10_0_0_60_2","camera","unavailable","10_0_0_60","",""
"binary_sensor.kitchen_main_mic_muted","binary_sensor","off","Kitchen Main Mic muted","",""
"binary_sensor.kitchen_main_music_active","binary_sensor","off","Kitchen Main Music active","",""
"device_tracker.kitchen_main","device_tracker","unknown","Kitchen Main","",""
"sensor.kitchen_main_audio_mode","sensor","unknown","Kitchen Main Audio mode","enum",""
"sensor.kitchen_main_volume_level_music","sensor","unknown","Kitchen Main Volume level music","",""
"sensor.kitchen_main_battery_level","sensor","61","Kitchen Main Battery level","battery","%"
"sensor.kitchen_main_battery_state","sensor","discharging","Kitchen Main Battery state","enum",""
"sensor.kitchen_main_charger_type","sensor","none","Kitchen Main Charger type","enum",""
"sensor.kitchen_main_bluetooth_connection","sensor","unknown","Kitchen Main Bluetooth connection","","connection(s)"
"sensor.kitchen_main_ble_transmitter","sensor","unknown","Kitchen Main BLE transmitter","enum",""
